# 1      Please keep this file sorted alphabetically (ascending) and clear of duplicates
# 2      In VS Code you can do this with:
# 3      ctrl+shift+p > Delete Duplicate Lines
# 4      ctrl+shift+p > Sort Lines Ascending
# 5
# 6      Format:
# 7      manifest | source code
https://raw.githubusercontent.com/kingschnulli/jellyfin-youtube-plugin/main/manifest.json | https://github.com/kingschnulli/jellyfin-youtube-plugin
https://raw.githubusercontent.com/Kuschel-code/JellyfinUpscalerPlugin/refs/heads/main/manifest.json | https://github.com/Kuschel-code/JellyfinUpscalerPlugin
https://raw.githubusercontent.com/lachlandcp/jellyfin-editors-choice-plugin/HEAD/manifest.json | https://github.com/lachlandcp/jellyfin-editors-choice-plugin
https://raw.githubusercontent.com/lennykean/jellyfin-powertoys/main/manifest.json | https://github.com/lennykean/jellyfin-powertoys
https://raw.githubusercontent.com/leonardoman9/jellyfin-plugin-cover-art-sync/HEAD/manifest.json | https://github.com/leonardoman9/jellyfin-plugin-cover-art-sync
https://raw.githubusercontent.com/linaspurinis/jellyfin-plugin-mdblist/gh-pages/manifest.json | https://github.com/MDBList/jellyfin-plugin-mdblist
https://raw.githubusercontent.com/LinFor/jellyfin-plugin-extended-naming/refs/heads/main/dist/manifest.json | https://github.com/LinFor/jellyfin-plugin-extended-naming
https://raw.githubusercontent.com/LinFor/jellyfin-plugin-kinopoisk/master/dist/manifest.json | https://github.com/LinFor/jellyfin-plugin-kinopoisk
https://raw.githubusercontent.com/lostb1t/Gelato/refs/heads/gh-pages/repository.json | https://github.com/lostb1t/Gelato
https://raw.githubusercontent.com/lostb1t/jellyfin-plugin-collection-import/main/manifest.json | https://github.com/lostb1t/jellyfin-plugin-collection-import
https://raw.githubusercontent.com/luall0/jellyfin-luall0-plugins/refs/heads/main/manifest.json | https://github.com/luall0/jellyfin-luall0-plugins
https://raw.githubusercontent.com/Marnalas/jellyfin-subsync/HEAD/manifest.json | https://github.com/Marnalas/jellyfin-subsync
https://raw.githubusercontent.com/metatube-community/jellyfin-plugin-metatube/dist/manifest.json | https://github.com/metatube-community/jellyfin-plugin-metatube
https://raw.githubusercontent.com/MFerretti27/StudioHubs/main/manifest.json | https://github.com/MFerretti27/StudioHubs
https://raw.githubusercontent.com/mihaif7/jellyfin-plugin-update-notifier/main/manifest.json | https://github.com/mihaif7/jellyfin-plugin-update-notifier
https://raw.githubusercontent.com/MoazSalem/litefin-plugin/release/manifest.json | https://github.com/MoazSalem/litefin-plugin
https://raw.githubusercontent.com/monxas/jellyfin-share-plugin/main/manifest.json | https://github.com/monxas/jellyfin-share-plugin
https://raw.githubusercontent.com/Moonfin-Client/Plugin/refs/heads/master/manifest.json | https://github.com/Moonfin-Client/Plugin
https://raw.githubusercontent.com/MorganKryze/jellyflare/main/manifest.json | https://github.com/MorganKryze/jellyflare
https://raw.githubusercontent.com/mpash/jellyfin-anime-filler-skipper/main/manifest.json | http://github.com/mpash/jellyfin-anime-filler-skipper
https://raw.githubusercontent.com/mugurc/jellyfin-plugin-pre-transcode/main/manifest.json | https://github.com/mugurc/jellyfin-plugin-pre-transcode
https://raw.githubusercontent.com/mxschll/jellyfin-harmonie/main/manifest.json | https://github.com/mxschll/jellyfin-harmonie
https://raw.githubusercontent.com/n00bcodr/jellyfin-plugins/main/10.10/manifest.json | https://github.com/n00bcodr/jellyfin-plugins
